"State","County","Commodity","Value","Year","Yield_Mg_p_ha"
"Iowa","Linn","oats",55.1,"2018",2.204
"Iowa","Other (Combined) Counties","hay",4.1,"2018",3.71952
"Iowa","Other (Combined) Counties","oats",51.4,"2018",2.056
"Iowa","Scott","oats",77.5,"2018",3.1
"Iowa","Cerro Gordo","oats",75,"2018",3
"Iowa","Humboldt","hay",4.2,"2018",3.81024
"Iowa","Mitchell","oats",62.1,"2018",2.484
"Iowa","Other (Combined) Counties","hay",2.9,"2018",2.63088
"Iowa","Other (Combined) Counties","oats",54.3,"2018",2.172
"Iowa","Winnebago","hay",3.75,"2018",3.402
"Iowa","Wright","hay",3.2,"2018",2.90304
"Iowa","Allamakee","hay",4.05,"2018",3.67416
"Iowa","Bremer","oats",80.3,"2018",3.212
"Iowa","Buchanan","oats",61.1,"2018",2.444
"Iowa","Clayton","hay",4.25,"2018",3.8556
"Iowa","Clayton","oats",59.2,"2018",2.368
"Iowa","Dubuque","hay",4.5,"2018",4.0824
"Iowa","Dubuque","oats",62.9,"2018",2.516
"Iowa","Fayette","oats",54.8,"2018",2.192
"Iowa","Howard","oats",40.6,"2018",1.624
"Iowa","Other (Combined) Counties","hay",4.4,"2018",3.99168
"Iowa","Other (Combined) Counties","oats",68.4,"2018",2.736
"Iowa","Winneshiek","hay",3.95,"2018",3.58344
"Iowa","Winneshiek","oats",77,"2018",3.08
"Iowa","Clay","hay",3.05,"2018",2.76696
"Iowa","Emmet","hay",3.5,"2018",3.1752
"Iowa","Lyon","hay",4.8,"2018",4.35456
"Iowa","Lyon","oats",88.3,"2018",3.532
"Iowa","O Brien","oats",76.7,"2018",3.068
"Iowa","Other (Combined) Counties","hay",4.15,"2018",3.76488
"Iowa","Other (Combined) Counties","oats",65.3,"2018",2.612
"Iowa","Palo Alto","hay",2.15,"2018",1.95048
"Iowa","Plymouth","oats",90.8,"2018",3.632
"Iowa","Sioux","oats",88,"2018",3.52
"Iowa","Appanoose","hay",2.75,"2018",2.4948
"Iowa","Clarke","hay",3.1,"2018",2.81232
"Iowa","Lucas","oats",56.5,"2018",2.26
"Iowa","Marion","oats",66.9,"2018",2.676
"Iowa","Monroe","hay",3.05,"2018",2.76696
"Iowa","Other (Combined) Counties","hay",3.15,"2018",2.85768
"Iowa","Other (Combined) Counties","oats",56.8,"2018",2.272
"Iowa","Ringgold","hay",3,"2018",2.7216
"Iowa","Union","hay",3.05,"2018",2.76696
"Iowa","Union","oats",70.2,"2018",2.808
"Iowa","Warren","hay",2.85,"2018",2.58552
"Iowa","Davis","hay",2.5,"2018",2.268
"Iowa","Davis","oats",60,"2018",2.4
"Iowa","Des Moines","hay",3.4,"2018",3.08448
"Iowa","Jefferson","oats",53.6,"2018",2.144
"Iowa","Keokuk","hay",4,"2018",3.6288
"Iowa","Lee","hay",4,"2018",3.6288
"Iowa","Louisa","hay",3.9,"2018",3.53808
"Iowa","Other (Combined) Counties","hay",3.25,"2018",2.9484
"Iowa","Other (Combined) Counties","oats",64,"2018",2.56
"Iowa","Van Buren","hay",2.6,"2018",2.35872
"Iowa","Van Buren","oats",53.8,"2018",2.152
"Iowa","Washington","oats",54.4,"2018",2.176
"Iowa","Adair","hay",4.1,"2018",3.71952
"Iowa","Adams","oats",64.8,"2018",2.592
"Iowa","Mills","hay",4.15,"2018",3.76488
"Iowa","Other (Combined) Counties","hay",3.7,"2018",3.35664
"Iowa","Other (Combined) Counties","oats",56.4,"2018",2.256
"Iowa","Taylor","hay",3.5,"2018",3.1752
"Iowa","Audubon","hay",3.2,"2018",2.90304
"Iowa","Carroll","oats",61.5,"2018",2.46
"Iowa","Greene","oats",34.7,"2018",1.388
"Iowa","Other (Combined) Counties","hay",4.1,"2018",3.71952
"Iowa","Other (Combined) Counties","oats",76.6,"2018",3.064
"Iowa","Shelby","oats",76.9,"2018",3.076
"Iowa","Boone","oats",103.8,"2017",4.152
"Iowa","Grundy","hay",3.45,"2017",3.12984
"Iowa","Hamilton","hay",3.15,"2017",2.85768
"Iowa","Jasper","oats",90,"2017",3.6
"Iowa","Other (Combined) Counties","hay",3.4,"2017",3.08448
"Iowa","Other (Combined) Counties","oats",101.2,"2017",4.048
"Iowa","Poweshiek","hay",2.7,"2017",2.44944
"Iowa","Poweshiek","oats",76.7,"2017",3.068
"Iowa","Tama","oats",104.7,"2017",4.188
"Iowa","Webster","hay",3.35,"2017",3.03912
"Iowa","Benton","oats",87.5,"2017",3.5
"Iowa","Clinton","hay",4.5,"2017",4.0824
"Iowa","Clinton","oats",63.4,"2017",2.536
"Iowa","Jackson","hay",3.7,"2017",3.35664
"Iowa","Johnson","hay",3.15,"2017",2.85768
"Iowa","Johnson","oats",73.9,"2017",2.956
"Iowa","Jones","hay",3.9,"2017",3.53808
"Iowa","Jones","oats",66.3,"2017",2.652
"Iowa","Linn","hay",3.4,"2017",3.08448
"Iowa","Linn","oats",78.8,"2017",3.152
"Iowa","Muscatine","oats",75,"2017",3
"Iowa","Other (Combined) Counties","hay",4,"2017",3.6288
"Iowa","Other (Combined) Counties","oats",74.4,"2017",2.976
"Iowa","Scott","oats",88.8,"2017",3.552
"Iowa","Franklin","hay",3.8,"2017",3.44736
"Iowa","Hancock","hay",4.55,"2017",4.12776
"Iowa","Humboldt","hay",2.75,"2017",2.4948
"Iowa","Mitchell","hay",4.5,"2017",4.0824
"Iowa","Mitchell","oats",72.4,"2017",2.896
"Iowa","Other (Combined) Counties","hay",3.2,"2017",2.90304
"Iowa","Other (Combined) Counties","oats",82.6,"2017",3.304
"Iowa","Winnebago","hay",3.15,"2017",2.85768
"Iowa","Worth","hay",4.35,"2017",3.94632
"Iowa","Worth","oats",79.8,"2017",3.192
"Iowa","Wright","hay",2.9,"2017",2.63088
"Iowa","Allamakee","hay",4.2,"2017",3.81024
"Iowa","Allamakee","oats",73.8,"2017",2.952
"Iowa","Buchanan","oats",83.9,"2017",3.356
"Iowa","Chickasaw","hay",3.9,"2017",3.53808
"Iowa","Clayton","hay",3.95,"2017",3.58344
"Iowa","Clayton","oats",60.7,"2017",2.428
"Iowa","Delaware","hay",4.6,"2017",4.17312
"Iowa","Dubuque","hay",4.35,"2017",3.94632
"Iowa","Dubuque","oats",67.6,"2017",2.704
"Iowa","Fayette","hay",3.55,"2017",3.22056
"Iowa","Fayette","oats",77.9,"2017",3.116
"Iowa","Howard","hay",4.35,"2017",3.94632
"Iowa","Howard","oats",73.2,"2017",2.928
"Iowa","Other (Combined) Counties","hay",4.2,"2017",3.81024
"Iowa","Other (Combined) Counties","oats",73.7,"2017",2.948
"Iowa","Winneshiek","hay",3.65,"2017",3.31128
"Iowa","Emmet","hay",4,"2017",3.6288
"Iowa","Lyon","hay",5.2,"2017",4.71744
"Iowa","O Brien","hay",3,"2017",2.7216
"Iowa","O Brien","oats",80.8,"2017",3.232
"Iowa","Other (Combined) Counties","hay",4.25,"2017",3.8556
"Iowa","Other (Combined) Counties","oats",99.6,"2017",3.984
"Iowa","Palo Alto","oats",98.1,"2017",3.924
"Iowa","Plymouth","oats",109.5,"2017",4.38
"Iowa","Sioux","oats",91.3,"2017",3.652
"Iowa","Decatur","hay",3,"2017",2.7216
"Iowa","Madison","hay",3.1,"2017",2.81232
"Iowa","Marion","hay",2.9,"2017",2.63088
"Iowa","Other (Combined) Counties","hay",2.65,"2017",2.40408
"Iowa","Ringgold","hay",3.2,"2017",2.90304
"Iowa","Davis","hay",2.7,"2017",2.44944
"Iowa","Davis","oats",67,"2017",2.68
"Iowa","Des Moines","hay",3.35,"2017",3.03912
"Iowa","Henry","oats",127,"2017",5.08
"Iowa","Lee","hay",3.15,"2017",2.85768
"Iowa","Louisa","hay",3.1,"2017",2.81232
"Iowa","Mahaska","oats",86.8,"2017",3.472
"Iowa","Other (Combined) Counties","hay",3.3,"2017",2.99376
"Iowa","Other (Combined) Counties","oats",72.9,"2017",2.916
"Iowa","Van Buren","hay",2.8,"2017",2.54016
"Iowa","Van Buren","oats",74.2,"2017",2.968
"Iowa","Wapello","hay",2.4,"2017",2.17728
"Iowa","Washington","hay",2.8,"2017",2.54016
"Iowa","Cass","hay",3.5,"2017",3.1752
"Iowa","Fremont","hay",4.3,"2017",3.90096
"Iowa","Montgomery","hay",4.05,"2017",3.67416
"Iowa","Other (Combined) Counties","hay",3.5,"2017",3.1752
"Iowa","Audubon","hay",4.1,"2017",3.71952
"Iowa","Audubon","oats",81,"2017",3.24
"Iowa","Crawford","oats",99.1,"2017",3.964
"Iowa","Monona","hay",4.65,"2017",4.21848
"Iowa","Other (Combined) Counties","hay",4.1,"2017",3.71952
"Iowa","Other (Combined) Counties","oats",73.3,"2017",2.932
"Iowa","Woodbury","oats",55.6,"2017",2.224
"Iowa","Boone","corn",161.6,"2020",10.14848
"Iowa","Boone","soybeans",50,"2020",3.365
"Iowa","Dallas","corn",140.5,"2020",8.8234
"Iowa","Dallas","soybeans",45.4,"2020",3.05542
"Iowa","Grundy","corn",183.7,"2020",11.53636
"Iowa","Grundy","soybeans",59.8,"2020",4.02454
"Iowa","Hamilton","corn",167.2,"2020",10.50016
"Iowa","Hamilton","soybeans",50.5,"2020",3.39865
"Iowa","Hardin","corn",156.6,"2020",9.83448
"Iowa","Hardin","soybeans",51.8,"2020",3.48614
"Iowa","Polk","corn",151,"2020",9.4828
"Iowa","Polk","soybeans",49.2,"2020",3.31116
"Iowa","Poweshiek","corn",139,"2020",8.7292
"Iowa","Poweshiek","soybeans",53.8,"2020",3.62074
"Iowa","Story","corn",149.2,"2020",9.36976
"Iowa","Story","soybeans",51.3,"2020",3.45249
"Iowa","Tama","corn",133.5,"2020",8.3838
"Iowa","Tama","soybeans",55.2,"2020",3.71496
"Iowa","Webster","corn",174,"2020",10.9272
"Iowa","Webster","soybeans",49.5,"2020",3.33135
"Iowa","Benton","corn",145.6,"2020",9.14368
"Iowa","Benton","soybeans",55.7,"2020",3.74861
"Iowa","Cedar","corn",154.1,"2020",9.67748
"Iowa","Cedar","soybeans",55.3,"2020",3.72169
"Iowa","Clinton","corn",179.4,"2020",11.26632
"Iowa","Clinton","soybeans",55.9,"2020",3.76207
"Iowa","Iowa","corn",151.9,"2020",9.53932
"Iowa","Iowa","soybeans",48.9,"2020",3.29097
"Iowa","Jackson","corn",186.7,"2020",11.72476
"Iowa","Jackson","soybeans",53.7,"2020",3.61401
"Iowa","Johnson","corn",162.2,"2020",10.18616
"Iowa","Johnson","soybeans",50.9,"2020",3.42557
"Iowa","Jones","corn",172.6,"2020",10.83928
"Iowa","Jones","soybeans",53,"2020",3.5669
"Iowa","Linn","corn",165.9,"2020",10.41852
"Iowa","Muscatine","corn",173.8,"2020",10.91464
"Iowa","Muscatine","soybeans",54.6,"2020",3.67458
"Iowa","Scott","corn",182.3,"2020",11.44844
"Iowa","Scott","soybeans",59.9,"2020",4.03127
"Iowa","Butler","corn",193.9,"2020",12.17692
"Iowa","Butler","soybeans",53.2,"2020",3.58036
"Iowa","Cerro Gordo","corn",183.6,"2020",11.53008
"Iowa","Cerro Gordo","soybeans",58.7,"2020",3.95051
"Iowa","Floyd","corn",188.5,"2020",11.8378
"Iowa","Floyd","soybeans",53,"2020",3.5669
"Iowa","Franklin","corn",181.1,"2020",11.37308
"Iowa","Franklin","soybeans",54.3,"2020",3.65439
"Iowa","Hancock","corn",201.2,"2020",12.63536
"Iowa","Hancock","soybeans",58.9,"2020",3.96397
"Iowa","Humboldt","corn",189.5,"2020",11.9006
"Iowa","Humboldt","soybeans",55.8,"2020",3.75534
"Iowa","Kossuth","corn",191.5,"2020",12.0262
"Iowa","Kossuth","soybeans",59.1,"2020",3.97743
"Iowa","Mitchell","corn",204.5,"2020",12.8426
"Iowa","Mitchell","soybeans",58.3,"2020",3.92359
"Iowa","Winnebago","corn",208.3,"2020",13.08124
"Iowa","Winnebago","soybeans",59.7,"2020",4.01781
"Iowa","Worth","corn",206.9,"2020",12.99332
"Iowa","Worth","soybeans",57.2,"2020",3.84956
"Iowa","Wright","corn",187.1,"2020",11.74988
"Iowa","Wright","soybeans",54.9,"2020",3.69477
"Iowa","Allamakee","corn",197.4,"2020",12.39672
"Iowa","Allamakee","soybeans",57.7,"2020",3.88321
"Iowa","Black Hawk","corn",170.8,"2020",10.72624
"Iowa","Black Hawk","soybeans",53.2,"2020",3.58036
"Iowa","Bremer","corn",188.7,"2020",11.85036
"Iowa","Buchanan","corn",189.3,"2020",11.88804
"Iowa","Buchanan","soybeans",55.7,"2020",3.74861
"Iowa","Chickasaw","corn",186.8,"2020",11.73104
"Iowa","Chickasaw","soybeans",54.9,"2020",3.69477
"Iowa","Clayton","corn",192.1,"2020",12.06388
"Iowa","Clayton","soybeans",59,"2020",3.9707
"Iowa","Delaware","corn",191.5,"2020",12.0262
"Iowa","Delaware","soybeans",60,"2020",4.038
"Iowa","Dubuque","corn",198.3,"2020",12.45324
"Iowa","Fayette","corn",181.1,"2020",11.37308
"Iowa","Fayette","soybeans",54.9,"2020",3.69477
"Iowa","Howard","corn",189.7,"2020",11.91316
"Iowa","Howard","soybeans",53.5,"2020",3.60055
"Iowa","Winneshiek","corn",179.2,"2020",11.25376
"Iowa","Winneshiek","soybeans",52.6,"2020",3.53998
"Iowa","Buena Vista","corn",184.9,"2020",11.61172
"Iowa","Cherokee","corn",186.8,"2020",11.73104
"Iowa","Cherokee","soybeans",56.1,"2020",3.77553
"Iowa","Clay","corn",169.1,"2020",10.61948
"Iowa","Clay","soybeans",49.4,"2020",3.32462
"Iowa","Dickinson","corn",183.2,"2020",11.50496
"Iowa","Dickinson","soybeans",54.5,"2020",3.66785
"Iowa","Emmet","corn",187.2,"2020",11.75616
"Iowa","Emmet","soybeans",55,"2020",3.7015
"Iowa","Lyon","corn",198.1,"2020",12.44068
"Iowa","Lyon","soybeans",59.7,"2020",4.01781
"Iowa","O Brien","corn",200.6,"2020",12.59768
"Iowa","O Brien","soybeans",60.9,"2020",4.09857
"Iowa","Osceola","corn",186.3,"2020",11.69964
"Iowa","Palo Alto","corn",182.1,"2020",11.43588
"Iowa","Pocahontas","corn",187.3,"2020",11.76244
"Iowa","Pocahontas","soybeans",53.5,"2020",3.60055
"Iowa","Sioux","corn",203,"2020",12.7484
"Iowa","Appanoose","corn",145,"2020",9.106
"Iowa","Appanoose","soybeans",38.4,"2020",2.58432
"Iowa","Clarke","corn",156.1,"2020",9.80308
"Iowa","Clarke","soybeans",45.1,"2020",3.03523
"Iowa","Decatur","corn",160.2,"2020",10.06056
"Iowa","Decatur","soybeans",46.5,"2020",3.12945
"Iowa","Lucas","corn",150.1,"2020",9.42628
"Iowa","Lucas","soybeans",43,"2020",2.8939
"Iowa","Madison","corn",172.9,"2020",10.85812
"Iowa","Madison","soybeans",50.4,"2020",3.39192
"Iowa","Monroe","corn",156,"2020",9.7968
"Iowa","Monroe","soybeans",44.5,"2020",2.99485
"Iowa","Ringgold","corn",160,"2020",10.048
"Iowa","Ringgold","soybeans",49.7,"2020",3.34481
"Iowa","Union","corn",180.7,"2020",11.34796
"Iowa","Union","soybeans",51.2,"2020",3.44576
"Iowa","Warren","corn",169,"2020",10.6132
"Iowa","Warren","soybeans",48.5,"2020",3.26405
"Iowa","Wayne","corn",169.7,"2020",10.65716
"Iowa","Wayne","soybeans",43.8,"2020",2.94774
"Iowa","Davis","corn",170.9,"2020",10.73252
"Iowa","Davis","soybeans",41.2,"2020",2.77276
"Iowa","Des Moines","corn",191.3,"2020",12.01364
"Iowa","Des Moines","soybeans",59.5,"2020",4.00435
"Iowa","Henry","corn",173,"2020",10.8644
"Iowa","Henry","soybeans",53.9,"2020",3.62747
"Iowa","Jefferson","corn",168.3,"2020",10.56924
"Iowa","Jefferson","soybeans",52.8,"2020",3.55344
"Iowa","Keokuk","corn",164.4,"2020",10.32432
"Iowa","Keokuk","soybeans",50.6,"2020",3.40538
"Iowa","Lee","corn",175.3,"2020",11.00884
"Iowa","Lee","soybeans",51.2,"2020",3.44576
"Iowa","Louisa","corn",182.6,"2020",11.46728
"Iowa","Louisa","soybeans",52.3,"2020",3.51979
"Iowa","Mahaska","corn",181.8,"2020",11.41704
"Iowa","Van Buren","corn",154.4,"2020",9.69632
"Iowa","Van Buren","soybeans",43.3,"2020",2.91409
"Iowa","Wapello","corn",171.6,"2020",10.77648
"Iowa","Wapello","soybeans",51,"2020",3.4323
"Iowa","Washington","corn",186.5,"2020",11.7122
"Iowa","Washington","soybeans",52.2,"2020",3.51306
"Iowa","Adair","corn",169.7,"2020",10.65716
"Iowa","Adair","soybeans",47.2,"2020",3.17656
"Iowa","Adams","corn",174.2,"2020",10.93976
"Iowa","Cass","corn",178.5,"2020",11.2098
"Iowa","Cass","soybeans",48.4,"2020",3.25732
"Iowa","Fremont","corn",195.9,"2020",12.30252
"Iowa","Fremont","soybeans",53.8,"2020",3.62074
"Iowa","Mills","corn",183.2,"2020",11.50496
"Iowa","Mills","soybeans",48.3,"2020",3.25059
"Iowa","Montgomery","corn",185.6,"2020",11.65568
"Iowa","Montgomery","soybeans",48.3,"2020",3.25059
"Iowa","Page","corn",182.6,"2020",11.46728
"Iowa","Page","soybeans",51.5,"2020",3.46595
"Iowa","Pottawattamie","corn",177.3,"2020",11.13444
"Iowa","Pottawattamie","soybeans",47.1,"2020",3.16983
"Iowa","Taylor","corn",167.2,"2020",10.50016
"Iowa","Taylor","soybeans",46.2,"2020",3.10926
"Iowa","Audubon","corn",171.7,"2020",10.78276
"Iowa","Audubon","soybeans",47.4,"2020",3.19002
"Iowa","Calhoun","corn",160.5,"2020",10.0794
"Iowa","Calhoun","soybeans",46.8,"2020",3.14964
"Iowa","Carroll","corn",151.4,"2020",9.50792
"Iowa","Carroll","soybeans",53.8,"2020",3.62074
"Iowa","Crawford","corn",182.3,"2020",11.44844
"Iowa","Crawford","soybeans",53.2,"2020",3.58036
"Iowa","Greene","corn",154.6,"2020",9.70888
"Iowa","Greene","soybeans",48.1,"2020",3.23713
"Iowa","Guthrie","corn",152.2,"2020",9.55816
"Iowa","Guthrie","soybeans",44.7,"2020",3.00831
"Iowa","Harrison","corn",181.2,"2020",11.37936
"Iowa","Harrison","soybeans",51.1,"2020",3.43903
"Iowa","Ida","corn",189.3,"2020",11.88804
"Iowa","Ida","soybeans",54.5,"2020",3.66785
"Iowa","Monona","corn",179.4,"2020",11.26632
"Iowa","Monona","soybeans",54.9,"2020",3.69477
"Iowa","Sac","corn",161.9,"2020",10.16732
"Iowa","Sac","soybeans",46.2,"2020",3.10926
"Iowa","Shelby","corn",191.6,"2020",12.03248
"Iowa","Shelby","soybeans",51.8,"2020",3.48614
"Iowa","Woodbury","corn",192.1,"2020",12.06388
"Iowa","Woodbury","soybeans",55.7,"2020",3.74861
"Iowa","Boone","corn",194.8,"2019",12.23344
"Iowa","Boone","soybeans",53.2,"2019",3.58036
"Iowa","Dallas","corn",195,"2019",12.246
"Iowa","Dallas","soybeans",54.4,"2019",3.66112
"Iowa","Grundy","corn",209.8,"2019",13.17544
"Iowa","Grundy","soybeans",56.3,"2019",3.78899
"Iowa","Hamilton","corn",198.2,"2019",12.44696
"Iowa","Hamilton","soybeans",51.4,"2019",3.45922
"Iowa","Hardin","corn",200.2,"2019",12.57256
"Iowa","Hardin","soybeans",53.9,"2019",3.62747
"Iowa","Jasper","corn",209.3,"2019",13.14404
"Iowa","Jasper","soybeans",56.5,"2019",3.80245
"Iowa","Marshall","corn",221.9,"2019",13.93532
"Iowa","Marshall","soybeans",60.6,"2019",4.07838
"Iowa","Polk","corn",196.7,"2019",12.35276
"Iowa","Polk","soybeans",51,"2019",3.4323
"Iowa","Poweshiek","corn",200.3,"2019",12.57884
"Iowa","Poweshiek","soybeans",53.4,"2019",3.59382
"Iowa","Story","corn",189.3,"2019",11.88804
"Iowa","Story","soybeans",50,"2019",3.365
"Iowa","Tama","corn",204.8,"2019",12.86144
"Iowa","Tama","soybeans",53.4,"2019",3.59382
"Iowa","Webster","corn",202.9,"2019",12.74212
"Iowa","Webster","soybeans",49.1,"2019",3.30443
"Iowa","Benton","corn",197.6,"2019",12.40928
"Iowa","Benton","soybeans",57.9,"2019",3.89667
"Iowa","Cedar","corn",193.7,"2019",12.16436
"Iowa","Clinton","corn",196.1,"2019",12.31508
"Iowa","Clinton","soybeans",59.5,"2019",4.00435
"Iowa","Iowa","corn",190.6,"2019",11.96968
"Iowa","Iowa","soybeans",52.3,"2019",3.51979
"Iowa","Jackson","corn",185.5,"2019",11.6494
"Iowa","Johnson","corn",181.3,"2019",11.38564
"Iowa","Johnson","soybeans",55.5,"2019",3.73515
"Iowa","Jones","corn",203,"2019",12.7484
"Iowa","Jones","soybeans",57.2,"2019",3.84956
"Iowa","Linn","corn",223.7,"2019",14.04836
"Iowa","Linn","soybeans",56.5,"2019",3.80245
"Iowa","Muscatine","corn",173.2,"2019",10.87696
"Iowa","Muscatine","soybeans",55.2,"2019",3.71496
"Iowa","Other (Combined) Counties","soybeans",55.2,"2019",3.71496
"Iowa","Scott","corn",189.3,"2019",11.88804
"Iowa","Scott","soybeans",60.5,"2019",4.07165
"Iowa","Butler","corn",209.5,"2019",13.1566
"Iowa","Butler","soybeans",55,"2019",3.7015
"Iowa","Cerro Gordo","corn",191.8,"2019",12.04504
"Iowa","Cerro Gordo","soybeans",52.7,"2019",3.54671
"Iowa","Floyd","corn",202.9,"2019",12.74212
"Iowa","Floyd","soybeans",54.3,"2019",3.65439
"Iowa","Franklin","corn",202.7,"2019",12.72956
"Iowa","Franklin","soybeans",54.1,"2019",3.64093
"Iowa","Hancock","corn",193.3,"2019",12.13924
"Iowa","Hancock","soybeans",49.6,"2019",3.33808
"Iowa","Humboldt","corn",198.7,"2019",12.47836
"Iowa","Humboldt","soybeans",54.9,"2019",3.69477
"Iowa","Kossuth","corn",198.7,"2019",12.47836
"Iowa","Kossuth","soybeans",57.4,"2019",3.86302
"Iowa","Mitchell","corn",194.5,"2019",12.2146
"Iowa","Mitchell","soybeans",49.8,"2019",3.35154
"Iowa","Winnebago","corn",198.8,"2019",12.48464
"Iowa","Winnebago","soybeans",54.2,"2019",3.64766
"Iowa","Worth","corn",196.5,"2019",12.3402
"Iowa","Worth","soybeans",51,"2019",3.4323
"Iowa","Wright","corn",197,"2019",12.3716
"Iowa","Wright","soybeans",54.1,"2019",3.64093
"Iowa","Allamakee","corn",187.2,"2019",11.75616
"Iowa","Black Hawk","corn",205.1,"2019",12.88028
"Iowa","Black Hawk","soybeans",51.9,"2019",3.49287
"Iowa","Bremer","corn",212.5,"2019",13.345
"Iowa","Bremer","soybeans",52.5,"2019",3.53325
"Iowa","Buchanan","corn",218.9,"2019",13.74692
"Iowa","Buchanan","soybeans",55.2,"2019",3.71496
"Iowa","Chickasaw","corn",212.1,"2019",13.31988
"Iowa","Chickasaw","soybeans",54.5,"2019",3.66785
"Iowa","Clayton","corn",197.5,"2019",12.403
"Iowa","Clayton","soybeans",56.4,"2019",3.79572
"Iowa","Delaware","corn",204.6,"2019",12.84888
"Iowa","Dubuque","corn",216.4,"2019",13.58992
"Iowa","Dubuque","soybeans",60.2,"2019",4.05146
"Iowa","Fayette","corn",200.5,"2019",12.5914
"Iowa","Fayette","soybeans",55.5,"2019",3.73515
