"State","County","Commodity","Value","Year","Yield_Mg_p_ha","Yield_ton_p_acre"
"Iowa","O Brien","oats",59.7,"2019",2.388,0.9552
"Iowa","Osceola","oats",48,"2019",1.92,0.768
"Iowa","Other (Combined) Counties","oats",84.3,"2019",3.372,1.3488
"Iowa","Plymouth","oats",71.2,"2019",2.848,1.1392
"Iowa","Sioux","oats",71.2,"2019",2.848,1.1392
"Iowa","Other (Combined) Counties","oats",39.6,"2019",1.584,0.6336
"Iowa","Van Buren","oats",42.3,"2019",1.692,0.6768
"Iowa","Greene","oats",47.9,"2019",1.916,0.7664
"Iowa","Guthrie","oats",58.6,"2019",2.344,0.9376
"Iowa","Other (Combined) Counties","oats",66.4,"2019",2.656,1.0624
"Iowa","Shelby","oats",74.6,"2019",2.984,1.1936
"Iowa","Woodbury","oats",82,"2019",3.28,1.312
"Iowa","Boone","hay",3.35,"2018",3.03912,3.35
"Iowa","Boone","oats",57.9,"2018",2.316,0.9264
"Iowa","Hamilton","hay",3.45,"2018",3.12984,3.45
"Iowa","Hardin","oats",70,"2018",2.8,1.12
"Iowa","Jasper","oats",54.5,"2018",2.18,0.872
"Iowa","Other (Combined) Counties","hay",3.6,"2018",3.26592,3.6
"Iowa","Other (Combined) Counties","oats",69.6,"2018",2.784,1.1136
"Iowa","Polk","hay",4.3,"2018",3.90096,4.3
"Iowa","Poweshiek","oats",59.7,"2018",2.388,0.9552
"Iowa","Story","oats",55,"2018",2.2,0.88
"Iowa","Tama","oats",50.7,"2018",2.028,0.8112
"Iowa","Webster","hay",3.7,"2018",3.35664,3.7
"Iowa","Benton","oats",65.5,"2018",2.62,1.048
"Iowa","Cedar","oats",60.7,"2018",2.428,0.9712
"Iowa","Iowa","oats",76.6,"2018",3.064,1.2256
"Iowa","Jackson","hay",4.45,"2018",4.03704,4.45
"Iowa","Jackson","oats",52.5,"2018",2.1,0.84
"Iowa","Linn","oats",55.1,"2018",2.204,0.8816
"Iowa","Other (Combined) Counties","hay",4.1,"2018",3.71952,4.1
"Iowa","Other (Combined) Counties","oats",51.4,"2018",2.056,0.8224
"Iowa","Scott","oats",77.5,"2018",3.1,1.24
"Iowa","Cerro Gordo","oats",75,"2018",3,1.2
"Iowa","Humboldt","hay",4.2,"2018",3.81024,4.2
"Iowa","Mitchell","oats",62.1,"2018",2.484,0.9936
"Iowa","Other (Combined) Counties","hay",2.9,"2018",2.63088,2.9
"Iowa","Other (Combined) Counties","oats",54.3,"2018",2.172,0.8688
"Iowa","Winnebago","hay",3.75,"2018",3.402,3.75
"Iowa","Wright","hay",3.2,"2018",2.90304,3.2
"Iowa","Allamakee","hay",4.05,"2018",3.67416,4.05
"Iowa","Bremer","oats",80.3,"2018",3.212,1.2848
"Iowa","Buchanan","oats",61.1,"2018",2.444,0.9776
"Iowa","Clayton","hay",4.25,"2018",3.8556,4.25
"Iowa","Clayton","oats",59.2,"2018",2.368,0.9472
"Iowa","Dubuque","hay",4.5,"2018",4.0824,4.5
"Iowa","Dubuque","oats",62.9,"2018",2.516,1.0064
"Iowa","Fayette","oats",54.8,"2018",2.192,0.8768
"Iowa","Howard","oats",40.6,"2018",1.624,0.6496
"Iowa","Other (Combined) Counties","hay",4.4,"2018",3.99168,4.4
"Iowa","Other (Combined) Counties","oats",68.4,"2018",2.736,1.0944
"Iowa","Winneshiek","hay",3.95,"2018",3.58344,3.95
"Iowa","Winneshiek","oats",77,"2018",3.08,1.232
"Iowa","Clay","hay",3.05,"2018",2.76696,3.05
"Iowa","Emmet","hay",3.5,"2018",3.1752,3.5
"Iowa","Lyon","hay",4.8,"2018",4.35456,4.8
"Iowa","Lyon","oats",88.3,"2018",3.532,1.4128
"Iowa","O Brien","oats",76.7,"2018",3.068,1.2272
"Iowa","Other (Combined) Counties","hay",4.15,"2018",3.76488,4.15
"Iowa","Other (Combined) Counties","oats",65.3,"2018",2.612,1.0448
"Iowa","Palo Alto","hay",2.15,"2018",1.95048,2.15
"Iowa","Plymouth","oats",90.8,"2018",3.632,1.4528
"Iowa","Sioux","oats",88,"2018",3.52,1.408
"Iowa","Appanoose","hay",2.75,"2018",2.4948,2.75
"Iowa","Clarke","hay",3.1,"2018",2.81232,3.1
"Iowa","Lucas","oats",56.5,"2018",2.26,0.904
"Iowa","Marion","oats",66.9,"2018",2.676,1.0704
"Iowa","Monroe","hay",3.05,"2018",2.76696,3.05
"Iowa","Other (Combined) Counties","hay",3.15,"2018",2.85768,3.15
"Iowa","Other (Combined) Counties","oats",56.8,"2018",2.272,0.9088
"Iowa","Ringgold","hay",3,"2018",2.7216,3
"Iowa","Union","hay",3.05,"2018",2.76696,3.05
"Iowa","Union","oats",70.2,"2018",2.808,1.1232
"Iowa","Warren","hay",2.85,"2018",2.58552,2.85
"Iowa","Davis","hay",2.5,"2018",2.268,2.5
"Iowa","Davis","oats",60,"2018",2.4,0.96
"Iowa","Des Moines","hay",3.4,"2018",3.08448,3.4
"Iowa","Jefferson","oats",53.6,"2018",2.144,0.8576
"Iowa","Keokuk","hay",4,"2018",3.6288,4
"Iowa","Lee","hay",4,"2018",3.6288,4
"Iowa","Louisa","hay",3.9,"2018",3.53808,3.9
"Iowa","Other (Combined) Counties","hay",3.25,"2018",2.9484,3.25
"Iowa","Other (Combined) Counties","oats",64,"2018",2.56,1.024
"Iowa","Van Buren","hay",2.6,"2018",2.35872,2.6
"Iowa","Van Buren","oats",53.8,"2018",2.152,0.8608
"Iowa","Washington","oats",54.4,"2018",2.176,0.8704
"Iowa","Adair","hay",4.1,"2018",3.71952,4.1
"Iowa","Adams","oats",64.8,"2018",2.592,1.0368
"Iowa","Mills","hay",4.15,"2018",3.76488,4.15
"Iowa","Other (Combined) Counties","hay",3.7,"2018",3.35664,3.7
"Iowa","Other (Combined) Counties","oats",56.4,"2018",2.256,0.9024
"Iowa","Taylor","hay",3.5,"2018",3.1752,3.5
"Iowa","Audubon","hay",3.2,"2018",2.90304,3.2
"Iowa","Carroll","oats",61.5,"2018",2.46,0.984
"Iowa","Greene","oats",34.7,"2018",1.388,0.5552
"Iowa","Other (Combined) Counties","hay",4.1,"2018",3.71952,4.1
"Iowa","Other (Combined) Counties","oats",76.6,"2018",3.064,1.2256
"Iowa","Shelby","oats",76.9,"2018",3.076,1.2304
"Iowa","Boone","oats",103.8,"2017",4.152,1.6608
"Iowa","Grundy","hay",3.45,"2017",3.12984,3.45
"Iowa","Hamilton","hay",3.15,"2017",2.85768,3.15
"Iowa","Jasper","oats",90,"2017",3.6,1.44
"Iowa","Other (Combined) Counties","hay",3.4,"2017",3.08448,3.4
"Iowa","Other (Combined) Counties","oats",101.2,"2017",4.048,1.6192
"Iowa","Poweshiek","hay",2.7,"2017",2.44944,2.7
"Iowa","Poweshiek","oats",76.7,"2017",3.068,1.2272
"Iowa","Tama","oats",104.7,"2017",4.188,1.6752
"Iowa","Webster","hay",3.35,"2017",3.03912,3.35
"Iowa","Benton","oats",87.5,"2017",3.5,1.4
"Iowa","Clinton","hay",4.5,"2017",4.0824,4.5
"Iowa","Clinton","oats",63.4,"2017",2.536,1.0144
"Iowa","Jackson","hay",3.7,"2017",3.35664,3.7
"Iowa","Johnson","hay",3.15,"2017",2.85768,3.15
"Iowa","Johnson","oats",73.9,"2017",2.956,1.1824
"Iowa","Jones","hay",3.9,"2017",3.53808,3.9
"Iowa","Jones","oats",66.3,"2017",2.652,1.0608
"Iowa","Linn","hay",3.4,"2017",3.08448,3.4
"Iowa","Linn","oats",78.8,"2017",3.152,1.2608
"Iowa","Muscatine","oats",75,"2017",3,1.2
"Iowa","Other (Combined) Counties","hay",4,"2017",3.6288,4
"Iowa","Other (Combined) Counties","oats",74.4,"2017",2.976,1.1904
"Iowa","Scott","oats",88.8,"2017",3.552,1.4208
"Iowa","Franklin","hay",3.8,"2017",3.44736,3.8
"Iowa","Hancock","hay",4.55,"2017",4.12776,4.55
"Iowa","Humboldt","hay",2.75,"2017",2.4948,2.75
"Iowa","Mitchell","hay",4.5,"2017",4.0824,4.5
"Iowa","Mitchell","oats",72.4,"2017",2.896,1.1584
"Iowa","Other (Combined) Counties","hay",3.2,"2017",2.90304,3.2
"Iowa","Other (Combined) Counties","oats",82.6,"2017",3.304,1.3216
"Iowa","Winnebago","hay",3.15,"2017",2.85768,3.15
"Iowa","Worth","hay",4.35,"2017",3.94632,4.35
"Iowa","Worth","oats",79.8,"2017",3.192,1.2768
"Iowa","Wright","hay",2.9,"2017",2.63088,2.9
"Iowa","Allamakee","hay",4.2,"2017",3.81024,4.2
"Iowa","Allamakee","oats",73.8,"2017",2.952,1.1808
"Iowa","Buchanan","oats",83.9,"2017",3.356,1.3424
"Iowa","Chickasaw","hay",3.9,"2017",3.53808,3.9
"Iowa","Clayton","hay",3.95,"2017",3.58344,3.95
"Iowa","Clayton","oats",60.7,"2017",2.428,0.9712
"Iowa","Delaware","hay",4.6,"2017",4.17312,4.6
"Iowa","Dubuque","hay",4.35,"2017",3.94632,4.35
"Iowa","Dubuque","oats",67.6,"2017",2.704,1.0816
"Iowa","Fayette","hay",3.55,"2017",3.22056,3.55
"Iowa","Fayette","oats",77.9,"2017",3.116,1.2464
"Iowa","Howard","hay",4.35,"2017",3.94632,4.35
"Iowa","Howard","oats",73.2,"2017",2.928,1.1712
"Iowa","Other (Combined) Counties","hay",4.2,"2017",3.81024,4.2
"Iowa","Other (Combined) Counties","oats",73.7,"2017",2.948,1.1792
"Iowa","Winneshiek","hay",3.65,"2017",3.31128,3.65
"Iowa","Emmet","hay",4,"2017",3.6288,4
"Iowa","Lyon","hay",5.2,"2017",4.71744,5.2
"Iowa","O Brien","hay",3,"2017",2.7216,3
"Iowa","O Brien","oats",80.8,"2017",3.232,1.2928
"Iowa","Other (Combined) Counties","hay",4.25,"2017",3.8556,4.25
"Iowa","Other (Combined) Counties","oats",99.6,"2017",3.984,1.5936
"Iowa","Palo Alto","oats",98.1,"2017",3.924,1.5696
"Iowa","Plymouth","oats",109.5,"2017",4.38,1.752
"Iowa","Sioux","oats",91.3,"2017",3.652,1.4608
"Iowa","Decatur","hay",3,"2017",2.7216,3
"Iowa","Madison","hay",3.1,"2017",2.81232,3.1
"Iowa","Marion","hay",2.9,"2017",2.63088,2.9
"Iowa","Other (Combined) Counties","hay",2.65,"2017",2.40408,2.65
"Iowa","Ringgold","hay",3.2,"2017",2.90304,3.2
"Iowa","Davis","hay",2.7,"2017",2.44944,2.7
"Iowa","Davis","oats",67,"2017",2.68,1.072
"Iowa","Des Moines","hay",3.35,"2017",3.03912,3.35
"Iowa","Henry","oats",127,"2017",5.08,2.032
"Iowa","Lee","hay",3.15,"2017",2.85768,3.15
"Iowa","Louisa","hay",3.1,"2017",2.81232,3.1
"Iowa","Mahaska","oats",86.8,"2017",3.472,1.3888
"Iowa","Other (Combined) Counties","hay",3.3,"2017",2.99376,3.3
"Iowa","Other (Combined) Counties","oats",72.9,"2017",2.916,1.1664
"Iowa","Van Buren","hay",2.8,"2017",2.54016,2.8
"Iowa","Van Buren","oats",74.2,"2017",2.968,1.1872
"Iowa","Wapello","hay",2.4,"2017",2.17728,2.4
"Iowa","Washington","hay",2.8,"2017",2.54016,2.8
"Iowa","Cass","hay",3.5,"2017",3.1752,3.5
"Iowa","Fremont","hay",4.3,"2017",3.90096,4.3
"Iowa","Montgomery","hay",4.05,"2017",3.67416,4.05
"Iowa","Other (Combined) Counties","hay",3.5,"2017",3.1752,3.5
"Iowa","Audubon","hay",4.1,"2017",3.71952,4.1
"Iowa","Audubon","oats",81,"2017",3.24,1.296
"Iowa","Crawford","oats",99.1,"2017",3.964,1.5856
"Iowa","Monona","hay",4.65,"2017",4.21848,4.65
"Iowa","Other (Combined) Counties","hay",4.1,"2017",3.71952,4.1
"Iowa","Other (Combined) Counties","oats",73.3,"2017",2.932,1.1728
"Iowa","Woodbury","oats",55.6,"2017",2.224,0.8896
"Iowa","Boone","corn",161.6,"2020",10.14848,4.5248
"Iowa","Boone","soybeans",50,"2020",3.365,1.5
"Iowa","Dallas","corn",140.5,"2020",8.8234,3.934
"Iowa","Dallas","soybeans",45.4,"2020",3.05542,1.362
"Iowa","Grundy","corn",183.7,"2020",11.53636,5.1436
"Iowa","Grundy","soybeans",59.8,"2020",4.02454,1.794
"Iowa","Hamilton","corn",167.2,"2020",10.50016,4.6816
"Iowa","Hamilton","soybeans",50.5,"2020",3.39865,1.515
"Iowa","Hardin","corn",156.6,"2020",9.83448,4.3848
"Iowa","Hardin","soybeans",51.8,"2020",3.48614,1.554
"Iowa","Polk","corn",151,"2020",9.4828,4.228
"Iowa","Polk","soybeans",49.2,"2020",3.31116,1.476
"Iowa","Poweshiek","corn",139,"2020",8.7292,3.892
"Iowa","Poweshiek","soybeans",53.8,"2020",3.62074,1.614
"Iowa","Story","corn",149.2,"2020",9.36976,4.1776
"Iowa","Story","soybeans",51.3,"2020",3.45249,1.539
"Iowa","Tama","corn",133.5,"2020",8.3838,3.738
"Iowa","Tama","soybeans",55.2,"2020",3.71496,1.656
"Iowa","Webster","corn",174,"2020",10.9272,4.872
"Iowa","Webster","soybeans",49.5,"2020",3.33135,1.485
"Iowa","Benton","corn",145.6,"2020",9.14368,4.0768
"Iowa","Benton","soybeans",55.7,"2020",3.74861,1.671
"Iowa","Cedar","corn",154.1,"2020",9.67748,4.3148
"Iowa","Cedar","soybeans",55.3,"2020",3.72169,1.659
"Iowa","Clinton","corn",179.4,"2020",11.26632,5.0232
"Iowa","Clinton","soybeans",55.9,"2020",3.76207,1.677
"Iowa","Iowa","corn",151.9,"2020",9.53932,4.2532
"Iowa","Iowa","soybeans",48.9,"2020",3.29097,1.467
"Iowa","Jackson","corn",186.7,"2020",11.72476,5.2276
"Iowa","Jackson","soybeans",53.7,"2020",3.61401,1.611
"Iowa","Johnson","corn",162.2,"2020",10.18616,4.5416
"Iowa","Johnson","soybeans",50.9,"2020",3.42557,1.527
"Iowa","Jones","corn",172.6,"2020",10.83928,4.8328
"Iowa","Jones","soybeans",53,"2020",3.5669,1.59
"Iowa","Linn","corn",165.9,"2020",10.41852,4.6452
"Iowa","Muscatine","corn",173.8,"2020",10.91464,4.8664
"Iowa","Muscatine","soybeans",54.6,"2020",3.67458,1.638
"Iowa","Scott","corn",182.3,"2020",11.44844,5.1044
"Iowa","Scott","soybeans",59.9,"2020",4.03127,1.797
"Iowa","Butler","corn",193.9,"2020",12.17692,5.4292
"Iowa","Butler","soybeans",53.2,"2020",3.58036,1.596
"Iowa","Cerro Gordo","corn",183.6,"2020",11.53008,5.1408
"Iowa","Cerro Gordo","soybeans",58.7,"2020",3.95051,1.761
"Iowa","Floyd","corn",188.5,"2020",11.8378,5.278
"Iowa","Floyd","soybeans",53,"2020",3.5669,1.59
"Iowa","Franklin","corn",181.1,"2020",11.37308,5.0708
"Iowa","Franklin","soybeans",54.3,"2020",3.65439,1.629
"Iowa","Hancock","corn",201.2,"2020",12.63536,5.6336
"Iowa","Hancock","soybeans",58.9,"2020",3.96397,1.767
"Iowa","Humboldt","corn",189.5,"2020",11.9006,5.306
"Iowa","Humboldt","soybeans",55.8,"2020",3.75534,1.674
"Iowa","Kossuth","corn",191.5,"2020",12.0262,5.362
"Iowa","Kossuth","soybeans",59.1,"2020",3.97743,1.773
"Iowa","Mitchell","corn",204.5,"2020",12.8426,5.726
"Iowa","Mitchell","soybeans",58.3,"2020",3.92359,1.749
"Iowa","Winnebago","corn",208.3,"2020",13.08124,5.8324
"Iowa","Winnebago","soybeans",59.7,"2020",4.01781,1.791
"Iowa","Worth","corn",206.9,"2020",12.99332,5.7932
"Iowa","Worth","soybeans",57.2,"2020",3.84956,1.716
"Iowa","Wright","corn",187.1,"2020",11.74988,5.2388
"Iowa","Wright","soybeans",54.9,"2020",3.69477,1.647
"Iowa","Allamakee","corn",197.4,"2020",12.39672,5.5272
"Iowa","Allamakee","soybeans",57.7,"2020",3.88321,1.731
"Iowa","Black Hawk","corn",170.8,"2020",10.72624,4.7824
"Iowa","Black Hawk","soybeans",53.2,"2020",3.58036,1.596
"Iowa","Bremer","corn",188.7,"2020",11.85036,5.2836
"Iowa","Buchanan","corn",189.3,"2020",11.88804,5.3004
"Iowa","Buchanan","soybeans",55.7,"2020",3.74861,1.671
"Iowa","Chickasaw","corn",186.8,"2020",11.73104,5.2304
"Iowa","Chickasaw","soybeans",54.9,"2020",3.69477,1.647
"Iowa","Clayton","corn",192.1,"2020",12.06388,5.3788
"Iowa","Clayton","soybeans",59,"2020",3.9707,1.77
"Iowa","Delaware","corn",191.5,"2020",12.0262,5.362
"Iowa","Delaware","soybeans",60,"2020",4.038,1.8
"Iowa","Dubuque","corn",198.3,"2020",12.45324,5.5524
"Iowa","Fayette","corn",181.1,"2020",11.37308,5.0708
"Iowa","Fayette","soybeans",54.9,"2020",3.69477,1.647
"Iowa","Howard","corn",189.7,"2020",11.91316,5.3116
"Iowa","Howard","soybeans",53.5,"2020",3.60055,1.605
"Iowa","Winneshiek","corn",179.2,"2020",11.25376,5.0176
"Iowa","Winneshiek","soybeans",52.6,"2020",3.53998,1.578
"Iowa","Buena Vista","corn",184.9,"2020",11.61172,5.1772
"Iowa","Cherokee","corn",186.8,"2020",11.73104,5.2304
"Iowa","Cherokee","soybeans",56.1,"2020",3.77553,1.683
"Iowa","Clay","corn",169.1,"2020",10.61948,4.7348
"Iowa","Clay","soybeans",49.4,"2020",3.32462,1.482
"Iowa","Dickinson","corn",183.2,"2020",11.50496,5.1296
"Iowa","Dickinson","soybeans",54.5,"2020",3.66785,1.635
"Iowa","Emmet","corn",187.2,"2020",11.75616,5.2416
"Iowa","Emmet","soybeans",55,"2020",3.7015,1.65
"Iowa","Lyon","corn",198.1,"2020",12.44068,5.5468
"Iowa","Lyon","soybeans",59.7,"2020",4.01781,1.791
"Iowa","O Brien","corn",200.6,"2020",12.59768,5.6168
"Iowa","O Brien","soybeans",60.9,"2020",4.09857,1.827
"Iowa","Osceola","corn",186.3,"2020",11.69964,5.2164
"Iowa","Palo Alto","corn",182.1,"2020",11.43588,5.0988
"Iowa","Pocahontas","corn",187.3,"2020",11.76244,5.2444
"Iowa","Pocahontas","soybeans",53.5,"2020",3.60055,1.605
"Iowa","Sioux","corn",203,"2020",12.7484,5.684
"Iowa","Appanoose","corn",145,"2020",9.106,4.06
"Iowa","Appanoose","soybeans",38.4,"2020",2.58432,1.152
"Iowa","Clarke","corn",156.1,"2020",9.80308,4.3708
"Iowa","Clarke","soybeans",45.1,"2020",3.03523,1.353
"Iowa","Decatur","corn",160.2,"2020",10.06056,4.4856
"Iowa","Decatur","soybeans",46.5,"2020",3.12945,1.395
"Iowa","Lucas","corn",150.1,"2020",9.42628,4.2028
"Iowa","Lucas","soybeans",43,"2020",2.8939,1.29
"Iowa","Madison","corn",172.9,"2020",10.85812,4.8412
"Iowa","Madison","soybeans",50.4,"2020",3.39192,1.512
"Iowa","Monroe","corn",156,"2020",9.7968,4.368
"Iowa","Monroe","soybeans",44.5,"2020",2.99485,1.335
"Iowa","Ringgold","corn",160,"2020",10.048,4.48
"Iowa","Ringgold","soybeans",49.7,"2020",3.34481,1.491
"Iowa","Union","corn",180.7,"2020",11.34796,5.0596
"Iowa","Union","soybeans",51.2,"2020",3.44576,1.536
"Iowa","Warren","corn",169,"2020",10.6132,4.732
"Iowa","Warren","soybeans",48.5,"2020",3.26405,1.455
"Iowa","Wayne","corn",169.7,"2020",10.65716,4.7516
"Iowa","Wayne","soybeans",43.8,"2020",2.94774,1.314
"Iowa","Davis","corn",170.9,"2020",10.73252,4.7852
"Iowa","Davis","soybeans",41.2,"2020",2.77276,1.236
"Iowa","Des Moines","corn",191.3,"2020",12.01364,5.3564
"Iowa","Des Moines","soybeans",59.5,"2020",4.00435,1.785
"Iowa","Henry","corn",173,"2020",10.8644,4.844
"Iowa","Henry","soybeans",53.9,"2020",3.62747,1.617
"Iowa","Jefferson","corn",168.3,"2020",10.56924,4.7124
"Iowa","Jefferson","soybeans",52.8,"2020",3.55344,1.584
"Iowa","Keokuk","corn",164.4,"2020",10.32432,4.6032
"Iowa","Keokuk","soybeans",50.6,"2020",3.40538,1.518
"Iowa","Lee","corn",175.3,"2020",11.00884,4.9084
"Iowa","Lee","soybeans",51.2,"2020",3.44576,1.536
"Iowa","Louisa","corn",182.6,"2020",11.46728,5.1128
"Iowa","Louisa","soybeans",52.3,"2020",3.51979,1.569
"Iowa","Mahaska","corn",181.8,"2020",11.41704,5.0904
"Iowa","Van Buren","corn",154.4,"2020",9.69632,4.3232
"Iowa","Van Buren","soybeans",43.3,"2020",2.91409,1.299
"Iowa","Wapello","corn",171.6,"2020",10.77648,4.8048
"Iowa","Wapello","soybeans",51,"2020",3.4323,1.53
"Iowa","Washington","corn",186.5,"2020",11.7122,5.222
"Iowa","Washington","soybeans",52.2,"2020",3.51306,1.566
"Iowa","Adair","corn",169.7,"2020",10.65716,4.7516
"Iowa","Adair","soybeans",47.2,"2020",3.17656,1.416
"Iowa","Adams","corn",174.2,"2020",10.93976,4.8776
"Iowa","Cass","corn",178.5,"2020",11.2098,4.998
"Iowa","Cass","soybeans",48.4,"2020",3.25732,1.452
"Iowa","Fremont","corn",195.9,"2020",12.30252,5.4852
"Iowa","Fremont","soybeans",53.8,"2020",3.62074,1.614
"Iowa","Mills","corn",183.2,"2020",11.50496,5.1296
"Iowa","Mills","soybeans",48.3,"2020",3.25059,1.449
"Iowa","Montgomery","corn",185.6,"2020",11.65568,5.1968
"Iowa","Montgomery","soybeans",48.3,"2020",3.25059,1.449
"Iowa","Page","corn",182.6,"2020",11.46728,5.1128
"Iowa","Page","soybeans",51.5,"2020",3.46595,1.545
"Iowa","Pottawattamie","corn",177.3,"2020",11.13444,4.9644
"Iowa","Pottawattamie","soybeans",47.1,"2020",3.16983,1.413
"Iowa","Taylor","corn",167.2,"2020",10.50016,4.6816
"Iowa","Taylor","soybeans",46.2,"2020",3.10926,1.386
"Iowa","Audubon","corn",171.7,"2020",10.78276,4.8076
"Iowa","Audubon","soybeans",47.4,"2020",3.19002,1.422
"Iowa","Calhoun","corn",160.5,"2020",10.0794,4.494
"Iowa","Calhoun","soybeans",46.8,"2020",3.14964,1.404
"Iowa","Carroll","corn",151.4,"2020",9.50792,4.2392
"Iowa","Carroll","soybeans",53.8,"2020",3.62074,1.614
"Iowa","Crawford","corn",182.3,"2020",11.44844,5.1044
"Iowa","Crawford","soybeans",53.2,"2020",3.58036,1.596
"Iowa","Greene","corn",154.6,"2020",9.70888,4.3288
"Iowa","Greene","soybeans",48.1,"2020",3.23713,1.443
"Iowa","Guthrie","corn",152.2,"2020",9.55816,4.2616
"Iowa","Guthrie","soybeans",44.7,"2020",3.00831,1.341
"Iowa","Harrison","corn",181.2,"2020",11.37936,5.0736
"Iowa","Harrison","soybeans",51.1,"2020",3.43903,1.533
"Iowa","Ida","corn",189.3,"2020",11.88804,5.3004
"Iowa","Ida","soybeans",54.5,"2020",3.66785,1.635
"Iowa","Monona","corn",179.4,"2020",11.26632,5.0232
"Iowa","Monona","soybeans",54.9,"2020",3.69477,1.647
"Iowa","Sac","corn",161.9,"2020",10.16732,4.5332
"Iowa","Sac","soybeans",46.2,"2020",3.10926,1.386
"Iowa","Shelby","corn",191.6,"2020",12.03248,5.3648
"Iowa","Shelby","soybeans",51.8,"2020",3.48614,1.554
"Iowa","Woodbury","corn",192.1,"2020",12.06388,5.3788
"Iowa","Woodbury","soybeans",55.7,"2020",3.74861,1.671
"Iowa","Boone","corn",194.8,"2019",12.23344,5.4544
"Iowa","Boone","soybeans",53.2,"2019",3.58036,1.596
"Iowa","Dallas","corn",195,"2019",12.246,5.46
"Iowa","Dallas","soybeans",54.4,"2019",3.66112,1.632
"Iowa","Grundy","corn",209.8,"2019",13.17544,5.8744
"Iowa","Grundy","soybeans",56.3,"2019",3.78899,1.689
"Iowa","Hamilton","corn",198.2,"2019",12.44696,5.5496
"Iowa","Hamilton","soybeans",51.4,"2019",3.45922,1.542
"Iowa","Hardin","corn",200.2,"2019",12.57256,5.6056
"Iowa","Hardin","soybeans",53.9,"2019",3.62747,1.617
"Iowa","Jasper","corn",209.3,"2019",13.14404,5.8604
"Iowa","Jasper","soybeans",56.5,"2019",3.80245,1.695
