Year,Activity or input,Low herbicide,Conventional herbicide ,Low herbicide,Conventional herbicide 
2017,Hybrid or variety,IN09201,IN09201,Leafguard,Leafguard
,Planting date,Apr. 12,Apr. 12,"Mar. 29, 2016","Mar. 29, 2016"
,Stubble clipping,Aug. 7 in O3 and O4 and Sep. 11 in O4,Aug. 7 in O3 and O4 and Sep. 11 in O4,"Aug. 10, 2016","Aug. 10, 2016"
,Harvest date,Jul. 17,Jul. 17," Jun.6, Jul. 7, Aug. 7, and Sep. 11"," Jun.6, Jul. 7, Aug. 7, and Sep. 11"
,Weed sampling date,"Sep. 25, 27, 28 and 29","Sep. 25, 27, 28 and 29","Sep. 25, 27, 28 and 29","Sep. 25, 27, 28 and 29"
2018,Hybrid or variety,IN09201,IN09201,Leafguard,Leafguard
,Planting date,Apr. 24,Apr. 24,"Apr. 12, 2017","Apr. 12, 2017"
,Stubble clipping,Sep. 11,Sep. 11,"Sep. 11, 2017","Sep. 11, 2017"
,Harvest date,Jul. 20,Jul. 20,"Jun. 4, Jul. 9, and Sep. 10","Jun. 4, Jul. 9, and Sep. 10"
,Weed sampling date,"Sep. 26, Oct.4, 15, 16, 18, and 19","Sep. 26, Oct.4, 15, 16, 18, and 19","Sep. 26, Oct.4, 15, 16, 18, and 19","Sep. 26, Oct.4, 15, 16, 18, and 19"
2019,Hybrid or variety,IN09201,IN09201,Leafguard,Leafguard
,Planting date,Apr. 16,Apr. 16,"Apr. 24, 2018","Apr. 24, 2018"
,Stubble clipping,none,none,none,none
,Harvest date,Jul. 24 and 29,Sep. 24 and 29,"Jun. 7, Jul. 12, Aug. 26, 2019","Jun. 7, Jul. 12, Aug. 26, 2019"
,Weed sampling date,"Sep. 23, 24, 25, and 26, Oct. 3, 4, 7, and 8","Sep. 23, 24, 25, and 26, Oct. 3, 4, 7, and 8","Sep. 23, 24, 25, and 26, Oct. 3, 4, 7, and 8","Sep. 23, 24, 25, and 26, Oct. 3, 4, 7, and 8"
2020,Hybrid or variety,IN09201,IN09201,Leafguard,Leafguard
,Planting date,"Apr. 2, May 7 *","Apr. 2, May 7 *","Apr. 16, 2019","Apr. 16, 2019"
,Stubble clipping ,none,none,none,none
,Harvest date,Jul. 24,Jul. 24,"Jun. 2, Jul. 6, and Aug. 17","Jun. 2, Jul. 6, and Aug. 17"
,Weed sampling date,"Sep. 23, 24, and 29, Oct. 2, 6, 7, and 8","Sep. 23, 24, and 29, Oct. 2, 6, 7, and 8","Sep. 23, 24, and 29, Oct. 2, 6, 7, and 8","Sep. 23, 24, and 29, Oct. 2, 6, 7, and 8"
