"Plot","Crop_ID","Rot","Variety","Planted","Harvested","Moisture","Year","Bale_lbs","Fresh_lb_p_ac","Fresh_ton_p_ac","Dry_ton_p_ac","Cut_n","Fresh_MgpHa","Dry_MgpHa","Crop","Block"
41,"A4","4-year","Pioneer 55H94","24-Apr-18","12-Jul-19",9.922267947,2019,709,1865.789474,0.932894737,0.840330421,2,2.091692235,1.882340144,"alfalfa","4"
17,"A4","4-year","Pioneer 55H94","24-Apr-18","26-Aug-19",23.57394366,2019,623,1639.473684,0.819736842,0.626492541,3,1.837974982,1.403343291,"alfalfa","1"
22,"A4","4-year","Pioneer 55H94","24-Apr-18","26-Aug-19",21.21386177,2019,689,1813.157895,0.906578947,0.714258543,3,2.032688223,1.599939136,"alfalfa","2"
39,"A4","4-year","Pioneer 55H94","24-Apr-18","26-Aug-19",24.63953861,2019,648,1705.263158,0.852631579,0.642547092,3,1.911729998,1.439305486,"alfalfa","3"
41,"A4","4-year","Pioneer 55H94","24-Apr-18","26-Aug-19",25.04097017,2019,689,1813.157895,0.906578947,0.679562784,3,2.032688223,1.522220635,"alfalfa","4"
14,"A4","4-year","Pioneer 55H94","16-Apr-19","2-Jun-20",28,2020,1275,3355.263158,1.677631579,1.207894737,1,3.761505782,2.705684211,"alfalfa","1"
29,"A4","4-year","Pioneer 55H94","16-Apr-19","2-Jun-20",32,2020,1350,3552.631579,1.776315789,1.207894737,1,3.982770828,2.705684211,"alfalfa","2"
32,"A4","4-year","Pioneer 55H94","16-Apr-19","2-Jun-20",24,2020,1115,2934.210526,1.467105263,1.115,1,3.289473684,2.4976,"alfalfa","3"
49,"A4","4-year","Pioneer 55H94","16-Apr-19","2-Jun-20",25,2020,861,2265.789474,1.132894737,0.849671053,1,2.540122728,1.903263158,"alfalfa","4"
14,"A4","4-year","Pioneer 55H94","16-Apr-19","6-Jul-20",12.56517205,2020,612,1610.526316,0.805263158,0.704080457,2,1.805522776,1.577140223,"alfalfa","1"
29,"A4","4-year","Pioneer 55H94","16-Apr-19","6-Jul-20",12.6708474,2020,621,1634.210526,0.817105263,0.713571102,2,1.832074581,1.598399269,"alfalfa","2"
32,"A4","4-year","Pioneer 55H94","16-Apr-19","6-Jul-20",11.97697587,2020,455,1197.368421,0.598684211,0.526979947,2,1.342341279,1.180435082,"alfalfa","3"
49,"A4","4-year","Pioneer 55H94","16-Apr-19","6-Jul-20",11.97438634,2020,535,1407.894737,0.703947368,0.619653991,2,1.578357328,1.38802494,"alfalfa","4"
14,"A4","4-year","Pioneer 55H94","2-Apr-20","17-Aug-20",24.56140351,2020,638,1678.947368,0.839473684,0.633287165,3,1.882227992,1.41856325,"alfalfa","1"
29,"A4","4-year","Pioneer 55H94","2-Apr-20","17-Aug-20",27.24629253,2020,487,1281.578947,0.640789474,0.466198099,3,1.436747699,1.044283742,"alfalfa","2"
32,"A4","4-year","Pioneer 55H94","2-Apr-20","17-Aug-20",24.52015355,2020,514,1352.631579,0.676315789,0.510482119,3,1.516403115,1.143479947,"alfalfa","3"
49,"A4","4-year","Pioneer 55H94","2-Apr-20","17-Aug-20",26.7501159,2020,543,1428.947368,0.714473684,0.523351146,3,1.601958933,1.172306566,"alfalfa","4"
