"Plot","Crop_ID","Rot","Corn_weed_management","Variety","Planted","Harvested","lb_p_plot","Moisture","Standard_moistrure","Standardized_yield_MgpHa","Standardized_yield_bu_ac","Year","bu_p_acre","Crop","Block"
23,"S3","3-year","conv","Latham 2758","17-May-18","29-Oct-18",228.3,13,13,2.802042204,41.6970566,2018,"41.6970566","soybean","2"
23,"S3","3-year","low","Latham 2758","17-May-18","29-Oct-18",246.9,13,13,3.030329479,45.09418868,2018,"45.09418868","soybean","2"
27,"S2","2-year","conv","Latham 2758","17-May-18","29-Oct-18",210.7,13.2,13,2.580083545,38.39410037,2018,"38.39410037","soybean","2"
27,"S2","2-year","low","Latham 2758","17-May-18","29-Oct-18",223.2,13,13,2.739447306,40.76558491,2018,"40.76558491","soybean","2"
29,"S4","4-year","conv","Latham 2758","17-May-18","29-Oct-18",255.7,13,13,3.138336362,46.70143396,2018,"46.70143396","soybean","2"
29,"S4","4-year","low","Latham 2758","17-May-18","29-Oct-18",297.9,12.9,13,3.660481079,54.47144463,2018,"54.47144463","soybean","2"
32,"S4","4-year","conv","Latham 2758","17-May-18","29-Oct-18",301.5,12.8,13,3.708969906,55.19300455,2018,"55.19300455","soybean","3"
32,"S4","4-year","low","Latham 2758","17-May-18","29-Oct-18",206.2,12.8,13,2.536615571,37.74725552,2018,"37.74725552","soybean","3"
35,"S2","2-year","conv","Latham 2758","17-May-18","29-Oct-18",190.3,12.6,13,2.346387461,34.91648007,2018,"34.91648007","soybean","3"
35,"S2","2-year","low","Latham 2758","17-May-18","29-Oct-18",170.5,12.5,13,2.104659987,31.31934504,2018,"31.31934504","soybean","3"
38,"S3","3-year","conv","Latham 2758","17-May-18","29-Oct-18",237.4,12.6,13,2.927127605,43.5584465,2018,"43.5584465","soybean","3"
38,"S3","3-year","low","Latham 2758","17-May-18","29-Oct-18",222.7,12.7,13,2.74273576,40.81452023,2018,"40.81452023","soybean","3"
45,"S2","2-year","conv","Latham 2758","17-May-18","29-Oct-18",199.5,12.7,13,2.45700846,36.56262589,2018,"36.56262589","soybean","4"
45,"S2","2-year","low","Latham 2758","17-May-18","29-Oct-18",186.2,12.7,13,2.293207896,34.1251175,2018,"34.1251175","soybean","4"
48,"S3","3-year","conv","Latham 2758","17-May-18","29-Oct-18",133.1,12.7,13,1.639237223,24.39341106,2018,"24.39341106","soybean","4"
48,"S3","3-year","low","Latham 2758","17-May-18","29-Oct-18",154.6,12.8,13,1.901846592,28.30128857,2018,"28.30128857","soybean","4"
49,"S4","4-year","conv","Latham 2758","17-May-18","29-Oct-18",159,12.5,13,2.737454809,40.73593466,2018,"40.73593466","soybean","4"
49,"S4","4-year","low","Latham 2758","17-May-18","29-Oct-18",130.6,12.4,13,2.251070332,33.49807042,2018,"33.49807042","soybean","4"
13,"S2","2-year","conv","Latham 2758","10-Jun-19","18-Oct-19",294.3,13.8,13,3.578879171,53.25713051,2019,"2780.022213","soybean","1"
13,"S2","2-year","low","Latham 2758","10-Jun-19","18-Oct-19",294,13.9,13,3.571083376,53.14112167,2019,"2773.966551","soybean","1"
15,"S3","3-year","conv","Latham 2758","10-Jun-19","18-Oct-19",223.5,14.3,13,4.053210104,60.31562655,2019,"3148.475706","soybean","1"
15,"S3","3-year","low","Latham 2758","10-Jun-19","18-Oct-19",332.3,14.3,13,4.017544273,59.78488501,2019,"3120.770998","soybean","1"
18,"S4","4-year","conv","Latham 2758","10-Jun-19","18-Oct-19",332.9,14.3,13,4.02479834,59.89283244,2019,"3126.405854","soybean","1"
18,"S4","4-year","low","Latham 2758","10-Jun-19","18-Oct-19",334.7,14.3,13,4.046560542,60.21667473,2019,"3143.310421","soybean","1"
24,"S2","2-year","conv","Latham 2758","10-Jun-19","18-Oct-19",304.5,14.2,13,3.685734883,54.84724528,2019,"2863.026204","soybean","2"
24,"S2","2-year","low","Latham 2758","10-Jun-19","18-Oct-19",303.3,14,13,3.679767418,54.75844372,2019,"2858.390762","soybean","2"
26,"S3","3-year","conv","Latham 2758","10-Jun-19","18-Oct-19",322.2,14.4,13,3.890888709,57.9001296,2019,"3022.386765","soybean","2"
26,"S3","3-year","low","Latham 2758","10-Jun-19","18-Oct-19",319.8,14.5,13,3.857394725,57.40170722,2019,"2996.369117","soybean","2"
28,"S4","4-year","conv","Latham 2758","10-Jun-19","18-Oct-19",364.1,14.6,13,4.386600237,65.27678924,2019,"3407.448398","soybean","2"
28,"S4","4-year","low","Latham 2758","10-Jun-19","18-Oct-19",346.7,14.5,13,4.18185976,62.23005595,2019,"3248.408921","soybean","2"
34,"S2","2-year","conv","Latham 2758","10-Jun-19","18-Oct-19",318,14,13,3.858114207,57.41241379,2019,"2996.928","soybean","3"
34,"S2","2-year","low","Latham 2758","10-Jun-19","18-Oct-19",298.4,13.9,13,3.624528161,53.93643097,2019,"2815.481697","soybean","3"
36,"S3","3-year","conv","Latham 2758","10-Jun-19","18-Oct-19",314.5,13.9,13,3.820087489,56.84654001,2019,"2967.389389","soybean","3"
36,"S3","3-year","low","Latham 2758","10-Jun-19","18-Oct-19",310.7,14,13,3.769547434,56.09445587,2019,"2928.130596","soybean","3"
37,"S4","4-year","conv","Latham 2758","10-Jun-19","18-Oct-19",345.8,14.2,13,4.185639155,62.28629694,2019,"3251.3447","soybean","3"
37,"S4","4-year","low","Latham 2758","10-Jun-19","18-Oct-19",347.8,14,13,4.219660758,62.79257081,2019,"3277.772196","soybean","3"
44,"S2","2-year","conv","Latham 2758","10-Jun-19","18-Oct-19",302.8,13.7,13,3.686516438,54.85887556,2019,"2863.633304","soybean","4"
44,"S2","2-year","low","Latham 2758","10-Jun-19","18-Oct-19",312.8,13.8,13,3.803851188,56.60492839,2019,"2954.777262","soybean","4"
46,"S4","4-year","conv","Latham 2758","10-Jun-19","18-Oct-19",301.3,13.7,13,4.401905162,65.50454111,2019,"3419.337046","soybean","4"
46,"S4","4-year","low","Latham 2758","10-Jun-19","18-Oct-19",354.6,13.8,13,4.31216634,64.16914196,2019,"3349.629211","soybean","4"
47,"S3","3-year","conv","Latham 2758","10-Jun-19","18-Oct-19",341.6,13.7,13,4.158897011,61.88834838,2019,"3230.571786","soybean","4"
47,"S3","3-year","low","Latham 2758","10-Jun-19","18-Oct-19",342.6,13.8,13,4.166238545,61.9975974,2019,"3236.274584","soybean","4"
12,"S4","4-year","conv","Latham 2758","13-May-20","23-Sep-20",332.8,11.7,13,3.99490733,59.44802575,2020,"59.44802575","soybean","1"
12,"S4","4-year","low","Latham 2758","13-May-20","23-Sep-20",318.5,12.2,13,3.801601942,56.57145747,2020,"56.57145747","soybean","1"
16,"S3","3-year","conv","Latham 2758","13-May-20","23-Sep-20",291.5,12.5,13,3.467442759,51.59885057,2020,"51.59885057","soybean","1"
16,"S3","3-year","low","Latham 2758","13-May-20","23-Sep-20",295.7,12.5,13,3.517402483,52.34229885,2020,"52.34229885","soybean","1"
19,"S2","2-year","conv","Latham 2758","13-May-20","23-Sep-20",316.1,12.8,13,3.747172352,55.76149333,2020,"55.76149333","soybean","1"
19,"S2","2-year","low","Latham 2758","13-May-20","23-Sep-20",317.5,13.2,13,3.746503503,55.75154023,2020,"55.75154023","soybean","1"
21,"S4","4-year","conv","Latham 2758","13-May-20","23-Sep-20",318.6,12.2,13,3.802795538,56.58921931,2020,"56.58921931","soybean","2"
21,"S4","4-year","low","Latham 2758","13-May-20","23-Sep-20",321.3,11.8,13,3.852494248,57.32878345,2020,"57.32878345","soybean","2"
25,"S3","3-year","conv","Latham 2758","13-May-20","23-Sep-20",301,12.7,13,3.572263018,53.15867586,2020,"53.15867586","soybean","2"
25,"S3","3-year","low","Latham 2758","13-May-20","23-Sep-20",314.3,12.4,13,3.742925436,55.69829517,2020,"55.69829517","soybean","2"
27,"S2","2-year","conv","Latham 2758","13-May-20","23-Sep-20",338.2,13.3,13,3.986166078,59.31794759,2020,"59.31794759","soybean","2"
27,"S2","2-year","low","Latham 2758","13-May-20","23-Sep-20",332.6,13.4,13,3.91564062,58.26846161,2020,"58.26846161","soybean","2"
31,"S4","4-year","conv","Latham 2758","13-May-20","23-Sep-20",307.7,12,13,3.681059663,54.77767356,2020,"54.77767356","soybean","3"
31,"S4","4-year","low","Latham 2758","13-May-20","23-Sep-20",312.5,12,13,3.738482759,55.63218391,2020,"55.63218391","soybean","3"
33,"S3","3-year","conv","Latham 2758","13-May-20","23-Sep-20",256.1,15.6,13,2.938425697,43.72657287,2020,"43.72657287","soybean","3"
33,"S3","3-year","low","Latham 2758","13-May-20","23-Sep-20",264.9,13.2,13,3.125822923,46.51522207,2020,"46.51522207","soybean","3"
35,"S2","2-year","conv","Latham 2758","13-May-20","23-Sep-20",319.3,12.5,13,3.798128552,56.51977011,2020,"56.51977011","soybean","3"
35,"S2","2-year","low","Latham 2758","13-May-20","23-Sep-20",329.2,12.2,13,3.92931667,58.47197425,2020,"58.47197425","soybean","3"
42,"S3","3-year","conv","Latham 2758","13-May-20","23-Sep-20",362.6,12.4,13,4.318118877,64.25772138,2020,"64.25772138","soybean","4"
42,"S3","3-year","low","Latham 2758","13-May-20","23-Sep-20",369.8,12.5,13,4.398834759,65.45885057,2020,"65.45885057","soybean","4"
43,"S4","4-year","conv","Latham 2758","13-May-20","23-Sep-20",367.1,12.7,13,4.356736724,64.83239172,2020,"64.83239172","soybean","4"
43,"S4","4-year","low","Latham 2758","13-May-20","23-Sep-20",364.5,12.9,13,4.315969589,64.22573793,2020,"64.22573793","soybean","4"
45,"S2","2-year","conv","Latham 2758","13-May-20","23-Sep-20",336.6,13,13,3.98103552,59.2416,2020,"59.2416","soybean","4"
45,"S2","2-year","low","Latham 2758","13-May-20","23-Sep-20",330.1,13.2,13,3.895183642,57.9640423,2020,"57.9640423","soybean","4"
