Plot,Crop_ID,Corn_weed_management,Rot,Variety,Planted,Harvested,lb_p_plot,Moisture, bu_p_acre,Standard_moistrure,Standardized_yield_MgpHa,Standardized_yield_bu_ac,Year
45,S2,low,2-year,Latham 2758,17-May-18,29-Oct-18,186.2,12.7,34.1251175,13,2.293207896,34.1251175,2018
48,S3,conv,3-year,Latham 2758,17-May-18,29-Oct-18,133.1,12.7,24.39341106,13,1.639237223,24.39341106,2018
48,S3,low,3-year,Latham 2758,17-May-18,29-Oct-18,154.6,12.8,28.30128857,13,1.901846592,28.30128857,2018
49,S4,conv,4-year,Latham 2758,17-May-18,29-Oct-18,159,12.5,40.73593466,13,2.737454809,40.73593466,2018
49,S4,low,4-year,Latham 2758,17-May-18,29-Oct-18,130.6,12.4,33.49807042,13,2.251070332,33.49807042,2018
13,S2,conv,2-year,Latham 2758,10-Jun-19,18-Oct-19,294.3,13.8,2780.022213,13,3.578879171,53.25713051,2019
13,S2,low,2-year,Latham 2758,10-Jun-19,18-Oct-19,294,13.9,2773.966551,13,3.571083376,53.14112167,2019
15,S3,conv,3-year,Latham 2758,10-Jun-19,18-Oct-19,223.5,14.3,3148.475706,13,4.053210104,60.31562655,2019
15,S3,low,3-year,Latham 2758,10-Jun-19,18-Oct-19,332.3,14.3,3120.770998,13,4.017544273,59.78488501,2019
18,S4,conv,4-year,Latham 2758,10-Jun-19,18-Oct-19,332.9,14.3,3126.405854,13,4.02479834,59.89283244,2019
18,S4,low,4-year,Latham 2758,10-Jun-19,18-Oct-19,334.7,14.3,3143.310421,13,4.046560542,60.21667473,2019
24,S2,conv,2-year,Latham 2758,10-Jun-19,18-Oct-19,304.5,14.2,2863.026204,13,3.685734883,54.84724528,2019
24,S2,low,2-year,Latham 2758,10-Jun-19,18-Oct-19,303.3,14,2858.390762,13,3.679767418,54.75844372,2019
26,S3,conv,3-year,Latham 2758,10-Jun-19,18-Oct-19,322.2,14.4,3022.386765,13,3.890888709,57.9001296,2019
26,S3,low,3-year,Latham 2758,10-Jun-19,18-Oct-19,319.8,14.5,2996.369117,13,3.857394725,57.40170722,2019
28,S4,conv,4-year,Latham 2758,10-Jun-19,18-Oct-19,364.1,14.6,3407.448398,13,4.386600237,65.27678924,2019
28,S4,low,4-year,Latham 2758,10-Jun-19,18-Oct-19,346.7,14.5,3248.408921,13,4.18185976,62.23005595,2019
34,S2,conv,2-year,Latham 2758,10-Jun-19,18-Oct-19,318,14,2996.928,13,3.858114207,57.41241379,2019
34,S2,low,2-year,Latham 2758,10-Jun-19,18-Oct-19,298.4,13.9,2815.481697,13,3.624528161,53.93643097,2019
36,S3,conv,3-year,Latham 2758,10-Jun-19,18-Oct-19,314.5,13.9,2967.389389,13,3.820087489,56.84654001,2019
36,S3,low,3-year,Latham 2758,10-Jun-19,18-Oct-19,310.7,14,2928.130596,13,3.769547434,56.09445587,2019
37,S4,conv,4-year,Latham 2758,10-Jun-19,18-Oct-19,345.8,14.2,3251.3447,13,4.185639155,62.28629694,2019
37,S4,low,4-year,Latham 2758,10-Jun-19,18-Oct-19,347.8,14,3277.772196,13,4.219660758,62.79257081,2019
44,S2,conv,2-year,Latham 2758,10-Jun-19,18-Oct-19,302.8,13.7,2863.633304,13,3.686516438,54.85887556,2019
44,S2,low,2-year,Latham 2758,10-Jun-19,18-Oct-19,312.8,13.8,2954.777262,13,3.803851188,56.60492839,2019
46,S4,conv,4-year,Latham 2758,10-Jun-19,18-Oct-19,301.3,13.7,3419.337046,13,4.401905162,65.50454111,2019
46,S4,low,4-year,Latham 2758,10-Jun-19,18-Oct-19,354.6,13.8,3349.629211,13,4.31216634,64.16914196,2019
47,S3,conv,3-year,Latham 2758,10-Jun-19,18-Oct-19,341.6,13.7,3230.571786,13,4.158897011,61.88834838,2019
47,S3,low,3-year,Latham 2758,10-Jun-19,18-Oct-19,342.6,13.8,3236.274584,13,4.166238545,61.9975974,2019
12,S4,conv,4-year,Latham 2758,13-May-20,23-Sep-20,332.8,11.7,59.44802575,13,3.99490733,59.44802575,2020
12,S4,low,4-year,Latham 2758,13-May-20,23-Sep-20,318.5,12.2,56.57145747,13,3.801601942,56.57145747,2020
16,S3,conv,3-year,Latham 2758,13-May-20,23-Sep-20,291.5,12.5,51.59885057,13,3.467442759,51.59885057,2020
16,S3,low,3-year,Latham 2758,13-May-20,23-Sep-20,295.7,12.5,52.34229885,13,3.517402483,52.34229885,2020
19,S2,conv,2-year,Latham 2758,13-May-20,23-Sep-20,316.1,12.8,55.76149333,13,3.747172352,55.76149333,2020
19,S2,low,2-year,Latham 2758,13-May-20,23-Sep-20,317.5,13.2,55.75154023,13,3.746503503,55.75154023,2020
21,S4,conv,4-year,Latham 2758,13-May-20,23-Sep-20,318.6,12.2,56.58921931,13,3.802795538,56.58921931,2020
21,S4,low,4-year,Latham 2758,13-May-20,23-Sep-20,321.3,11.8,57.32878345,13,3.852494248,57.32878345,2020
25,S3,conv,3-year,Latham 2758,13-May-20,23-Sep-20,301,12.7,53.15867586,13,3.572263018,53.15867586,2020
25,S3,low,3-year,Latham 2758,13-May-20,23-Sep-20,314.3,12.4,55.69829517,13,3.742925436,55.69829517,2020
27,S2,conv,2-year,Latham 2758,13-May-20,23-Sep-20,338.2,13.3,59.31794759,13,3.986166078,59.31794759,2020
27,S2,low,2-year,Latham 2758,13-May-20,23-Sep-20,332.6,13.4,58.26846161,13,3.91564062,58.26846161,2020
31,S4,conv,4-year,Latham 2758,13-May-20,23-Sep-20,307.7,12,54.77767356,13,3.681059663,54.77767356,2020
31,S4,low,4-year,Latham 2758,13-May-20,23-Sep-20,312.5,12,55.63218391,13,3.738482759,55.63218391,2020
33,S3,conv,3-year,Latham 2758,13-May-20,23-Sep-20,256.1,15.6,43.72657287,13,2.938425697,43.72657287,2020
33,S3,low,3-year,Latham 2758,13-May-20,23-Sep-20,264.9,13.2,46.51522207,13,3.125822923,46.51522207,2020
35,S2,conv,2-year,Latham 2758,13-May-20,23-Sep-20,319.3,12.5,56.51977011,13,3.798128552,56.51977011,2020
35,S2,low,2-year,Latham 2758,13-May-20,23-Sep-20,329.2,12.2,58.47197425,13,3.92931667,58.47197425,2020
42,S3,conv,3-year,Latham 2758,13-May-20,23-Sep-20,362.6,12.4,64.25772138,13,4.318118877,64.25772138,2020
42,S3,low,3-year,Latham 2758,13-May-20,23-Sep-20,369.8,12.5,65.45885057,13,4.398834759,65.45885057,2020
43,S4,conv,4-year,Latham 2758,13-May-20,23-Sep-20,367.1,12.7,64.83239172,13,4.356736724,64.83239172,2020
43,S4,low,4-year,Latham 2758,13-May-20,23-Sep-20,364.5,12.9,64.22573793,13,4.315969589,64.22573793,2020
45,S2,conv,2-year,Latham 2758,13-May-20,23-Sep-20,336.6,13,59.2416,13,3.98103552,59.2416,2020
45,S2,low,2-year,Latham 2758,13-May-20,23-Sep-20,330.1,13.2,57.9640423,13,3.895183642,57.9640423,2020
