Plot,Crop_ID,Rot,Corn_weed_management,Variety,Planted,Harvested,lb_p_plot,Moisture,Standard_moistrure,Standardized_yield_MgpHa,Standardized_yield_bu_ac,Year
28,C4,4-year,low,Eply1420,8-May-18,30-Oct-18,1159,14.9,15.5,13.80505776,220.1061505,2018
34,C2,2-year,conv,Eply1420,8-May-18,30-Oct-18,826.3,14.9,15.5,9.842208132,156.9229613,2018
34,C2,2-year,low,Eply1420,8-May-18,30-Oct-18,849.9,15,15.5,10.1114162,161.2151817,2018
36,C3,3-year,conv,Eply1420,8-May-18,30-Oct-18,1201,15,15.5,14.2885173,227.8143702,2018
36,C3,3-year,low,Eply1420,8-May-18,30-Oct-18,1185,14.9,15.5,14.11474844,225.0438208,2018
37,C4,4-year,conv,Eply1420,8-May-18,30-Oct-18,1253,15.1,15.5,14.88963299,237.3984852,2018
37,C4,4-year,low,Eply1420,8-May-18,30-Oct-18,1267,15.3,15.5,15.02053,239.4854911,2018
44,C2,2-year,conv,Eply1420,8-May-18,30-Oct-18,982.2,15,15.5,11.68541357,186.310803,2018
44,C2,2-year,low,Eply1420,8-May-18,30-Oct-18,1054,15,15.5,12.53963134,199.9303466,2018
46,C4,4-year,conv,Eply1420,8-May-18,30-Oct-18,1108,15.1,15.5,13.16657091,209.9261944,2018
46,C4,4-year,low,Eply1420,8-May-18,30-Oct-18,1133,15,15.5,13.47950883,214.9156382,2018
47,C3,3-year,conv,Eply1420,8-May-18,30-Oct-18,1046,15.1,15.5,12.42981334,198.1794218,2018
47,C3,3-year,low,Eply1420,8-May-18,30-Oct-18,1036,15,15.5,12.32548204,196.5159763,2018
12,C4,4-year,conv,Eply1420,3-Jun-19,6-Nov-19,1147,21.1,15.5,12.66676324,201.9573221,2019
12,C4,4-year,low,Eply1420,3-Jun-19,6-Nov-19,1128,20.9,15.5,12.48851544,199.1153609,2019
16,C3,3-year,conv,Eply1420,3-Jun-19,6-Nov-19,1172,20,15.5,13.12329316,209.2361792,2019
16,C3,3-year,low,Eply1420,3-Jun-19,6-Nov-19,1132,21.2,15.5,12.48526821,199.0635875,2019
19,C2,2-year,conv,Eply1420,3-Jun-19,6-Nov-19,1189,21.1,15.5,13.13058543,209.3524463,2019
19,C2,2-year,low,Eply1420,3-Jun-19,6-Nov-19,1201,20.9,15.5,13.2967261,212.0013728,2019
21,C4,4-year,conv,Eply1420,3-Jun-19,6-Nov-19,1131,21.2,15.5,12.47423882,198.8877363,2019
21,C4,4-year,low,Eply1420,3-Jun-19,6-Nov-19,1170,20.8,15.5,12.96988948,206.7903297,2019
25,C3,3-year,conv,Eply1420,3-Jun-19,6-Nov-19,1112,21.3,15.5,12.24911611,195.2984074,2019
25,C3,3-year,low,Eply1420,3-Jun-19,6-Nov-19,1078,21.5,15.5,11.84441592,188.8459172,2019
27,C2,2-year,conv,Eply1420,3-Jun-19,6-Nov-19,1061,21.2,15.5,11.7021816,186.5781505,2019
27,C2,2-year,low,Eply1420,3-Jun-19,6-Nov-19,1149,21.3,15.5,12.65668563,201.7966458,2019
31,C4,4-year,conv,Eply1420,3-Jun-19,6-Nov-19,1144,20.7,15.5,12.69768192,202.4502857,2019
31,C4,4-year,low,Eply1420,3-Jun-19,6-Nov-19,1156,20.9,15.5,12.79851405,204.0579408,2019
33,C3,3-year,conv,Eply1420,3-Jun-19,6-Nov-19,1118,21.6,15.5,12.26826358,195.6036923,2019
33,C3,3-year,low,Eply1420,3-Jun-19,6-Nov-19,1117,21.5,15.5,12.27292448,195.6780051,2019
35,C2,2-year,conv,Eply1420,3-Jun-19,6-Nov-19,1234,20.8,15.5,13.67935352,218.1019374,2019
35,C2,2-year,low,Eply1420,3-Jun-19,6-Nov-19,1210,20.6,15.5,13.44717648,214.4001352,2019
42,C3,3-year,conv,Eply1420,3-Jun-19,6-Nov-19,1091,20.8,15.5,12.0941448,192.8275638,2019
42,C3,3-year,low,Eply1420,3-Jun-19,6-Nov-19,1146,21.1,15.5,12.65571985,201.7812477,2019
43,C4,4-year,conv,Eply1420,3-Jun-19,6-Nov-19,1155,20.9,15.5,12.78744267,203.8814201,2019
43,C4,4-year,low,Eply1420,3-Jun-19,6-Nov-19,1150,20.6,15.5,12.78037434,203.7687236,2019
45,C2,2-year,conv,Eply1420,3-Jun-19,6-Nov-19,1143,20.9,15.5,12.65458612,201.7631716,2019
45,C2,2-year,low,Eply1420,3-Jun-19,6-Nov-19,1190,20.5,15.5,13.24156516,211.1218935,2019
11,C3,3-year,conv,Eply1420,23-Apr-20,2-Oct-20,1192,14.8,15.5,14.21481075,226.639202,2020
11,C3,3-year,low,Eply1420,23-Apr-20,2-Oct-20,1086,15,15.5,12.92034121,206.0003381,2020
13,C2,2-year,conv,Eply1420,23-Apr-20,2-Oct-20,1021,14.6,15.5,12.20418675,194.5820592,2020
13,C2,2-year,low,Eply1420,23-Apr-20,2-Oct-20,1020,14.4,15.5,12.22078682,194.8467287,2020
17,C4,4-year,conv,Eply1420,23-Apr-20,2-Oct-20,1061,14.7,15.5,12.66746307,201.9684801,2020
17,C4,4-year,low,Eply1420,23-Apr-20,2-Oct-20,1128,14.9,15.5,13.43581117,214.2189281,2020
22,C4,4-year,conv,Eply1420,23-Apr-20,2-Oct-20,1159,14.5,15.5,13.8699464,221.140727,2020
22,C4,4-year,low,Eply1420,23-Apr-20,2-Oct-20,1148,14.7,15.5,13.70617117,218.5295148,2020
23,C3,3-year,conv,Eply1420,23-Apr-20,2-Oct-20,1123,14.7,15.5,13.40769183,213.7705968,2020
23,C3,3-year,low,Eply1420,23-Apr-20,2-Oct-20,1067,14.7,15.5,12.73909812,203.1106205,2020
24,C2,2-year,conv,Eply1420,23-Apr-20,2-Oct-20,1065,14.4,15.5,12.75993918,203.4429079,2020
24,C2,2-year,low,Eply1420,23-Apr-20,2-Oct-20,1069,14.5,15.5,12.79290138,203.9684531,2020
34,C2,2-year,conv,Eply1420,23-Apr-20,2-Oct-20,980.5,14.9,15.5,11.67891211,186.2071445,2020
34,C2,2-year,low,Eply1420,23-Apr-20,2-Oct-20,1032,15.4,15.5,12.22011498,194.8360169,2020
38,C3,3-year,conv,Eply1420,23-Apr-20,2-Oct-20,1112,14.9,15.5,13.24523229,211.1803618,2020
38,C3,3-year,low,Eply1420,23-Apr-20,2-Oct-20,1087,15.2,15.5,12.90180959,205.7048724,2020
39,C4,4-year,conv,Eply1420,23-Apr-20,2-Oct-20,1049,14.8,15.5,12.50951047,199.4501031,2020
39,C4,4-year,low,Eply1420,23-Apr-20,2-Oct-20,1068,15,15.5,12.70619191,202.5859679,2020
41,C4,4-year,conv,Eply1420,23-Apr-20,2-Oct-20,1020,14.6,15.5,12.19223358,194.3914793,2020
41,C4,4-year,low,Eply1420,23-Apr-20,2-Oct-20,1071,14.7,15.5,12.78685481,203.8720473,2020
44,C2,2-year,conv,Eply1420,23-Apr-20,2-Oct-20,1103,14.7,15.5,13.16890836,209.9634624,2020
44,C2,2-year,low,Eply1420,23-Apr-20,2-Oct-20,1020,14.9,15.5,12.14940372,193.7086052,2020
48,C3,3-year,conv,Eply1420,23-Apr-20,2-Oct-20,1081,17,15.5,12.55824693,200.2271513,2020
48,C3,3-year,low,Eply1420,23-Apr-20,2-Oct-20,1103,17,15.5,12.81382642,204.3020795,2020
